Year,Data type,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2021-22,Proportion of clients that avoided homelessness,Males,Total,83.1,73.6,80.9,82.8,83.2,64.3,71.3,83.7,77.9
2021-22,Proportion of clients that avoided homelessness,All clients,0 to 9,84.9,78.1,87.1,74.5,84.9,n.p.,n.p.,80.9,81.4
2021-22,Proportion of clients that avoided homelessness,All clients,10 to 14,87.7,81.4,89.2,85.1,90.8,n.p.,n.p.,91.2,86.1
2021-22,Proportion of clients that avoided homelessness,All clients,15 to 17,75.0,74.8,76.5,83.8,83.4,n.p.,n.p.,92.0,77.6
2021-22,Proportion of clients that avoided homelessness,All clients,18 to 24,78.1,70.6,77.3,80.2,84.6,n.p.,n.p.,80.5,75.3
2021-22,Proportion of clients that avoided homelessness,All clients,25 to 34,81.1,75.6,80.2,82.9,82.5,65.5,78.6,73.5,77.8
2021-22,Proportion of clients that avoided homelessness,All clients,35 to 44,84.8,75.9,80.0,83.4,82.5,70.4,81.6,80.2,78.9
2021-22,Proportion of clients that avoided homelessness,All clients,45 to 54,86.8,78.6,79.0,84.8,83.1,73.0,n.p.,79.9,80.8
2021-22,Proportion of clients that avoided homelessness,All clients,55 to 64,90.3,84.2,86.7,88.6,87.8,n.p.,n.p.,n.p.,85.9
2021-22,Proportion of clients that avoided homelessness,All clients,65+,93.3,91.2,92.3,95.3,94.6,n.p.,n.p.,n.p.,92.4
2021-22,Proportion of clients that avoided homelessness,All clients,Total,83.4,77.4,82.3,82.7,84.4,72.5,77.9,82.2,80.2
2021-22,Number of clients that avoided homelessness,Females,0 to 9,"1,005","1,224",611,427,331,n.p.,n.p.,222,"3,817"
2021-22,Number of clients that avoided homelessness,Females,10 to 14,500,523,266,173,140,n.p.,n.p.,179,"1,783"
2021-22,Number of clients that avoided homelessness,Females,15 to 17,416,338,189,119,148,n.p.,n.p.,113,"1,332"
2021-22,Number of clients that avoided homelessness,Females,18 to 24,"1,073","1,455",526,410,380,49,43,198,"4,106"
2021-22,Number of clients that avoided homelessness,Females,25 to 34,"1,384","3,174",870,857,676,82,77,310,"7,379"
2021-22,Number of clients that avoided homelessness,Females,35 to 44,"1,456","3,142",781,829,577,77,60,248,"7,132"
2021-22,Number of clients that avoided homelessness,Females,45 to 54,864,"2,049",472,536,310,53,n.p.,111,"4,399"
2021-22,Number of clients that avoided homelessness,Females,55 to 64,401,954,284,273,140,41,n.p.,50,"2,141"
2021-22,Number of clients that avoided homelessness,Females,65+,232,655,140,152,55,36,n.p.,21,"1,299"
2021-22,Number of clients that avoided homelessness,Females,Total,"7,331","13,514","4,139","3,776","2,757",352,222,"1,452","33,388"
2021-22,Number of clients that avoided homelessness,Males,0 to 9,989,"1,255",660,404,353,n.p.,n.p.,245,"3,911"
2021-22,Number of clients that avoided homelessness,Males,10 to 14,463,524,248,186,155,n.p.,n.p.,193,"1,773"
2021-22,Number of clients that avoided homelessness,Males,15 to 17,348,285,121,77,68,n.p.,n.p.,95,998
2021-22,Number of clients that avoided homelessness,Males,18 to 24,500,655,231,114,138,n.p.,n.p.,42,"1,690"
2021-22,Number of clients that avoided homelessness,Males,25 to 34,329,"1,284",232,223,170,30,22,n.p.,"2,296"
2021-22,Number of clients that avoided homelessness,Males,35 to 44,359,"1,404",272,233,180,37,24,n.p.,"2,509"
2021-22,Number of clients that avoided homelessness,Males,45 to 54,351,"1,105",225,251,131,39,n.p.,n.p.,"2,119"
2021-22,Number of clients that avoided homelessness,Males,55 to 64,202,654,151,154,75,25,n.p.,n.p.,"1,270"
2021-22,Number of clients that avoided homelessness,Males,65+,132,457,111,114,51,22,n.p.,n.p.,895
2021-22,Number of clients that avoided homelessness,Males,Total,"3,673","7,623","2,251","1,756","1,321",173,92,631,"17,461"
