Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Apr-25,April,2025,Total,Interpersonal,Interpersonal Relationships,"11,839","17,641","7,849","4,635","2,198",948,"1,058","1,531","47,620"
Apr-25,April,2025,Total,Interpersonal,Time out from family/other situation,"2,051","2,151","1,493",758,101,241,290,495,"7,573"
Apr-25,April,2025,Total,Interpersonal,Relationship/family breakdown,"5,524","4,937","3,551","1,766",709,521,672,274,"17,933"
Apr-25,April,2025,Total,Interpersonal,Family and domestic violence,"8,303","14,286","5,315","3,700","1,517",470,702,"1,102","35,341"
Apr-25,April,2025,Total,Interpersonal,Non-family violence,484,600,278,126,66,53,45,35,"1,686"
Apr-25,April,2025,Total,Health,Health,"5,718","6,707","3,981","1,919","1,834",633,763,270,"21,795"
Apr-25,April,2025,Total,Health,Mental health issues,"4,490","4,996","2,587","1,186","1,347",447,602,96,"15,730"
Apr-25,April,2025,Total,Health,Medical issues,"1,834","2,591","1,711",635,721,216,278,114,"8,097"
Apr-25,April,2025,Total,Health,Problematic drug or substance use,"1,237","1,724",605,501,286,118,148,54,"4,669"
Apr-25,April,2025,Total,Health,Problematic alcohol use,538,634,382,317,146,70,85,78,"2,248"
Apr-25,April,2025,Total,Other,Other,"6,943","8,804","5,896","2,470","1,286",728,847,946,"27,893"
Apr-25,April,2025,Total,Other,Transition from custodial arrangements,570,"1,290",211,96,182,64,51,37,"2,501"
Apr-25,April,2025,Total,Other,Transition from other care arrangements,215,306,162,110,27,45,38,18,920
Apr-25,April,2025,Total,Other,Unable to return home due to environmental reasons,448,439,431,133,105,42,88,16,"1,702"
Apr-25,April,2025,Total,Other,Lack of family and/or community support,"4,847","5,071","3,796","1,558",586,432,562,479,"17,316"
Apr-25,April,2025,Total,Other,Other (not elsewhere classified),"1,103","2,292","1,621",662,114,194,255,372,"6,612"
Apr-25,April,2025,Total,Total,Total Clients,"23,857","33,217","20,107","7,824","6,528","2,205","1,958","3,414","98,909"
Mar-25,March,2025,Female,Accommodation,Accommodation,"8,234","9,101","7,528","2,050","2,801",854,774,775,"32,048"
Mar-25,March,2025,Female,Accommodation,Housing crisis (e.g. eviction),"5,510","5,801","4,729","1,174","2,223",513,531,265,"20,708"
Mar-25,March,2025,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"3,115","4,522","3,907","1,093",486,427,356,538,"14,429"
Mar-25,March,2025,Female,Accommodation,Previous accommodation ended,"2,200","2,473","2,079",621,183,327,178,92,"8,148"
Mar-25,March,2025,Female,Financial,Financial,"7,091","9,277","6,891","2,236","1,119",622,841,710,"28,742"
Mar-25,March,2025,Female,Financial,Financial difficulties,"4,721","7,115","4,999","1,642",631,386,609,471,"20,549"
Mar-25,March,2025,Female,Financial,Housing affordability stress,"4,857","6,343","5,350","1,415",442,484,701,273,"19,848"
Mar-25,March,2025,Female,Financial,Employment difficulties,522,737,491,195,91,28,123,96,"2,281"
Mar-25,March,2025,Female,Financial,Unemployment,"1,335","1,674","1,289",564,323,77,190,149,"5,598"
Mar-25,March,2025,Female,Interpersonal,Interpersonal Relationships,"8,441","12,378","5,522","3,565","1,599",652,736,"1,270","34,091"
Mar-25,March,2025,Female,Interpersonal,Time out from family/other situation,"1,367","1,292",960,513,59,140,200,406,"4,931"
